episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
99,20098,white,0-1,-1.0,0.0,64,checkmate,False
100,20099,black,1-0,-1.0,0.0,43,checkmate,False
101,20100,white,0-1,-1.0,0.0,64,checkmate,False
102,20101,black,1-0,-1.0,0.0,43,checkmate,False
103,20102,white,0-1,-1.0,0.0,64,checkmate,False
104,20103,black,1-0,-1.0,0.0,43,checkmate,False
105,20104,white,0-1,-1.0,0.0,64,checkmate,False
106,20105,black,1-0,-1.0,0.0,43,checkmate,False
107,20106,white,0-1,-1.0,0.0,64,checkmate,False
108,20107,black,1-0,-1.0,0.0,43,checkmate,False
109,20108,white,0-1,-1.0,0.0,64,checkmate,False
110,20109,black,1-0,-1.0,0.0,43,checkmate,False
111,20110,white,0-1,-1.0,0.0,64,checkmate,False
112,20111,black,1-0,-1.0,0.0,43,checkmate,False
113,20112,white,0-1,-1.0,0.0,64,checkmate,False
114,20113,black,1-0,-1.0,0.0,43,checkmate,False
115,20114,white,0-1,-1.0,0.0,64,checkmate,False
116,20115,black,1-0,-1.0,0.0,43,checkmate,False
117,20116,white,0-1,-1.0,0.0,64,checkmate,False
118,20117,black,1-0,-1.0,0.0,43,checkmate,False
119,20118,white,0-1,-1.0,0.0,64,checkmate,False
120,20119,black,1-0,-1.0,0.0,43,checkmate,False
121,20120,white,0-1,-1.0,0.0,64,checkmate,False
122,20121,black,1-0,-1.0,0.0,43,checkmate,False
123,20122,white,0-1,-1.0,0.0,64,checkmate,False
124,20123,black,1-0,-1.0,0.0,43,checkmate,False
125,20124,white,0-1,-1.0,0.0,64,checkmate,False
126,20125,black,1-0,-1.0,0.0,43,checkmate,False
127,20126,white,0-1,-1.0,0.0,64,checkmate,False
128,20127,black,1-0,-1.0,0.0,43,checkmate,False
129,20128,white,0-1,-1.0,0.0,64,checkmate,False
130,20129,black,1-0,-1.0,0.0,43,checkmate,False
131,20130,white,0-1,-1.0,0.0,64,checkmate,False
132,20131,black,1-0,-1.0,0.0,43,checkmate,False
133,20132,white,0-1,-1.0,0.0,64,checkmate,False
134,20133,black,1-0,-1.0,0.0,43,checkmate,False
135,20134,white,0-1,-1.0,0.0,64,checkmate,False
136,20135,black,1-0,-1.0,0.0,43,checkmate,False
137,20136,white,0-1,-1.0,0.0,64,checkmate,False
138,20137,black,1-0,-1.0,0.0,43,checkmate,False
139,20138,white,0-1,-1.0,0.0,64,checkmate,False
140,20139,black,1-0,-1.0,0.0,43,checkmate,False
141,20140,white,0-1,-1.0,0.0,64,checkmate,False
142,20141,black,1-0,-1.0,0.0,43,checkmate,False
143,20142,white,0-1,-1.0,0.0,64,checkmate,False
144,20143,black,1-0,-1.0,0.0,43,checkmate,False
145,20144,white,0-1,-1.0,0.0,64,checkmate,False
146,20145,black,1-0,-1.0,0.0,43,checkmate,False
147,20146,white,0-1,-1.0,0.0,64,checkmate,False
148,20147,black,1-0,-1.0,0.0,43,checkmate,False
149,20148,white,0-1,-1.0,0.0,64,checkmate,False
150,20149,black,1-0,-1.0,0.0,43,checkmate,False
151,20150,white,0-1,-1.0,0.0,64,checkmate,False
152,20151,black,1-0,-1.0,0.0,43,checkmate,False
153,20152,white,0-1,-1.0,0.0,64,checkmate,False
154,20153,black,1-0,-1.0,0.0,43,checkmate,False
155,20154,white,0-1,-1.0,0.0,64,checkmate,False
156,20155,black,1-0,-1.0,0.0,43,checkmate,False
157,20156,white,0-1,-1.0,0.0,64,checkmate,False
158,20157,black,1-0,-1.0,0.0,43,checkmate,False
159,20158,white,0-1,-1.0,0.0,64,checkmate,False
160,20159,black,1-0,-1.0,0.0,43,checkmate,False
161,20160,white,0-1,-1.0,0.0,64,checkmate,False
162,20161,black,1-0,-1.0,0.0,43,checkmate,False
163,20162,white,0-1,-1.0,0.0,64,checkmate,False
164,20163,black,1-0,-1.0,0.0,43,checkmate,False
165,20164,white,0-1,-1.0,0.0,64,checkmate,False
166,20165,black,1-0,-1.0,0.0,43,checkmate,False
167,20166,white,0-1,-1.0,0.0,64,checkmate,False
168,20167,black,1-0,-1.0,0.0,43,checkmate,False
169,20168,white,0-1,-1.0,0.0,64,checkmate,False
170,20169,black,1-0,-1.0,0.0,43,checkmate,False
171,20170,white,0-1,-1.0,0.0,64,checkmate,False
172,20171,black,1-0,-1.0,0.0,43,checkmate,False
173,20172,white,0-1,-1.0,0.0,64,checkmate,False
174,20173,black,1-0,-1.0,0.0,43,checkmate,False
175,20174,white,0-1,-1.0,0.0,64,checkmate,False
176,20175,black,1-0,-1.0,0.0,43,checkmate,False
177,20176,white,0-1,-1.0,0.0,64,checkmate,False
178,20177,black,1-0,-1.0,0.0,43,checkmate,False
179,20178,white,0-1,-1.0,0.0,64,checkmate,False
180,20179,black,1-0,-1.0,0.0,43,checkmate,False
181,20180,white,0-1,-1.0,0.0,64,checkmate,False
182,20181,black,1-0,-1.0,0.0,43,checkmate,False
183,20182,white,0-1,-1.0,0.0,64,checkmate,False
184,20183,black,1-0,-1.0,0.0,43,checkmate,False
185,20184,white,0-1,-1.0,0.0,64,checkmate,False
186,20185,black,1-0,-1.0,0.0,43,checkmate,False
187,20186,white,0-1,-1.0,0.0,64,checkmate,False
188,20187,black,1-0,-1.0,0.0,43,checkmate,False
189,20188,white,0-1,-1.0,0.0,64,checkmate,False
190,20189,black,1-0,-1.0,0.0,43,checkmate,False
191,20190,white,0-1,-1.0,0.0,64,checkmate,False
192,20191,black,1-0,-1.0,0.0,43,checkmate,False
193,20192,white,0-1,-1.0,0.0,64,checkmate,False
194,20193,black,1-0,-1.0,0.0,43,checkmate,False
195,20194,white,0-1,-1.0,0.0,64,checkmate,False
196,20195,black,1-0,-1.0,0.0,43,checkmate,False
197,20196,white,0-1,-1.0,0.0,64,checkmate,False
198,20197,black,1-0,-1.0,0.0,43,checkmate,False
199,20198,white,0-1,-1.0,0.0,64,checkmate,False
200,20199,black,1-0,-1.0,0.0,43,checkmate,False
201,20200,white,0-1,-1.0,0.0,64,checkmate,False
202,20201,black,1-0,-1.0,0.0,43,checkmate,False
203,20202,white,0-1,-1.0,0.0,64,checkmate,False
204,20203,black,1-0,-1.0,0.0,43,checkmate,False
205,20204,white,0-1,-1.0,0.0,64,checkmate,False
206,20205,black,1-0,-1.0,0.0,43,checkmate,False
207,20206,white,0-1,-1.0,0.0,64,checkmate,False
208,20207,black,1-0,-1.0,0.0,43,checkmate,False
209,20208,white,0-1,-1.0,0.0,64,checkmate,False
210,20209,black,1-0,-1.0,0.0,43,checkmate,False
211,20210,white,0-1,-1.0,0.0,64,checkmate,False
212,20211,black,1-0,-1.0,0.0,43,checkmate,False
213,20212,white,0-1,-1.0,0.0,64,checkmate,False
214,20213,black,1-0,-1.0,0.0,43,checkmate,False
215,20214,white,0-1,-1.0,0.0,64,checkmate,False
216,20215,black,1-0,-1.0,0.0,43,checkmate,False
217,20216,white,0-1,-1.0,0.0,64,checkmate,False
218,20217,black,1-0,-1.0,0.0,43,checkmate,False
219,20218,white,0-1,-1.0,0.0,64,checkmate,False
220,20219,black,1-0,-1.0,0.0,43,checkmate,False
221,20220,white,0-1,-1.0,0.0,64,checkmate,False
222,20221,black,1-0,-1.0,0.0,43,checkmate,False
223,20222,white,0-1,-1.0,0.0,64,checkmate,False
224,20223,black,1-0,-1.0,0.0,43,checkmate,False
225,20224,white,0-1,-1.0,0.0,64,checkmate,False
226,20225,black,1-0,-1.0,0.0,43,checkmate,False
227,20226,white,0-1,-1.0,0.0,64,checkmate,False
228,20227,black,1-0,-1.0,0.0,43,checkmate,False
229,20228,white,0-1,-1.0,0.0,64,checkmate,False
230,20229,black,1-0,-1.0,0.0,43,checkmate,False
231,20230,white,0-1,-1.0,0.0,64,checkmate,False
232,20231,black,1-0,-1.0,0.0,43,checkmate,False
233,20232,white,0-1,-1.0,0.0,64,checkmate,False
234,20233,black,1-0,-1.0,0.0,43,checkmate,False
235,20234,white,0-1,-1.0,0.0,64,checkmate,False
236,20235,black,1-0,-1.0,0.0,43,checkmate,False
237,20236,white,0-1,-1.0,0.0,64,checkmate,False
238,20237,black,1-0,-1.0,0.0,43,checkmate,False
239,20238,white,0-1,-1.0,0.0,64,checkmate,False
240,20239,black,1-0,-1.0,0.0,43,checkmate,False
241,20240,white,0-1,-1.0,0.0,64,checkmate,False
242,20241,black,1-0,-1.0,0.0,43,checkmate,False
243,20242,white,0-1,-1.0,0.0,64,checkmate,False
244,20243,black,1-0,-1.0,0.0,43,checkmate,False
245,20244,white,0-1,-1.0,0.0,64,checkmate,False
246,20245,black,1-0,-1.0,0.0,43,checkmate,False
247,20246,white,0-1,-1.0,0.0,64,checkmate,False
248,20247,black,1-0,-1.0,0.0,43,checkmate,False
249,20248,white,0-1,-1.0,0.0,64,checkmate,False
250,20249,black,1-0,-1.0,0.0,43,checkmate,False
251,20250,white,0-1,-1.0,0.0,64,checkmate,False
252,20251,black,1-0,-1.0,0.0,43,checkmate,False
253,20252,white,0-1,-1.0,0.0,64,checkmate,False
254,20253,black,1-0,-1.0,0.0,43,checkmate,False
255,20254,white,0-1,-1.0,0.0,64,checkmate,False
256,20255,black,1-0,-1.0,0.0,43,checkmate,False
257,20256,white,0-1,-1.0,0.0,64,checkmate,False
258,20257,black,1-0,-1.0,0.0,43,checkmate,False
259,20258,white,0-1,-1.0,0.0,64,checkmate,False
260,20259,black,1-0,-1.0,0.0,43,checkmate,False
261,20260,white,0-1,-1.0,0.0,64,checkmate,False
262,20261,black,1-0,-1.0,0.0,43,checkmate,False
263,20262,white,0-1,-1.0,0.0,64,checkmate,False
264,20263,black,1-0,-1.0,0.0,43,checkmate,False
265,20264,white,0-1,-1.0,0.0,64,checkmate,False
266,20265,black,1-0,-1.0,0.0,43,checkmate,False
267,20266,white,0-1,-1.0,0.0,64,checkmate,False
268,20267,black,1-0,-1.0,0.0,43,checkmate,False
269,20268,white,0-1,-1.0,0.0,64,checkmate,False
270,20269,black,1-0,-1.0,0.0,43,checkmate,False
271,20270,white,0-1,-1.0,0.0,64,checkmate,False
272,20271,black,1-0,-1.0,0.0,43,checkmate,False
273,20272,white,0-1,-1.0,0.0,64,checkmate,False
274,20273,black,1-0,-1.0,0.0,43,checkmate,False
275,20274,white,0-1,-1.0,0.0,64,checkmate,False
276,20275,black,1-0,-1.0,0.0,43,checkmate,False
277,20276,white,0-1,-1.0,0.0,64,checkmate,False
278,20277,black,1-0,-1.0,0.0,43,checkmate,False
279,20278,white,0-1,-1.0,0.0,64,checkmate,False
280,20279,black,1-0,-1.0,0.0,43,checkmate,False
281,20280,white,0-1,-1.0,0.0,64,checkmate,False
282,20281,black,1-0,-1.0,0.0,43,checkmate,False
